"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Kdm3b",0.0260405941936827,-0.505120537296018,0.299,0.389,1,"Kdm3b","OPC","P23","Down"
"Grik5",0.0263597840166323,-0.249799094356185,0.543,0.672,1,"Grik5","OPC","P23","Down"
"Plp1",0.0268642161791901,-0.110795867298712,0.421,0.528,1,"Plp1","OPC","P23","Down"
"Ptprm",0.027596244211388,-0.448318289613078,0.308,0.406,1,"Ptprm","OPC","P23","Down"
"Nhsl1",0.0276091502121723,-0.527387841688058,0.186,0.289,1,"Nhsl1","OPC","P23","Down"
"Saraf",0.0278064275871638,-0.748108109253387,0.19,0.278,1,"Saraf","OPC","P23","Down"
"Pom121",0.0278237245375223,-0.429711501086582,0.176,0.272,1,"Pom121","OPC","P23","Down"
"Guf1",0.0278617215948886,-0.377017272168689,0.24,0.339,1,"Guf1","OPC","P23","Down"
"Mtdh",0.0278619005208068,0.394538983379398,0.353,0.244,1,"Mtdh","OPC","P23","Up"
"Phactr3",0.02794357356332,-0.453268503167871,0.317,0.422,1,"Phactr3","OPC","P23","Down"
"Vmp1",0.0281106416960848,-0.627570984938031,0.195,0.283,1,"Vmp1","OPC","P23","Down"
"Pnisr",0.028975642644697,0.16851643431897,0.932,0.878,1,"Pnisr","OPC","P23","Up"
"Cilk1",0.0291927483242812,0.482219000146563,0.439,0.367,1,"Cilk1","OPC","P23","Up"
"Susd5",0.0293192783877334,0.562485670733508,0.421,0.317,1,"Susd5","OPC","P23","Up"
"Rbmx",0.0297928352179887,0.317743749917332,0.62,0.556,1,"Rbmx","OPC","P23","Up"
"Scamp5",0.0300781974861221,-0.260062833947599,0.584,0.694,1,"Scamp5","OPC","P23","Down"
"Ctdspl2",0.0306578854214336,-0.65737530682273,0.181,0.267,1,"Ctdspl2","OPC","P23","Down"
"Khsrp",0.030827521689208,0.649055334240262,0.281,0.194,1,"Khsrp","OPC","P23","Up"
"Wdr26",0.0310771499793175,-0.312968029145546,0.471,0.567,1,"Wdr26","OPC","P23","Down"
"Isca2",0.0314983417628471,-0.551653442208936,0.176,0.272,1,"Isca2","OPC","P23","Down"
"Rbpjl",0.0317634981709494,-0.512580196968021,0.249,0.344,1,"Rbpjl","OPC","P23","Down"
"Ube2q1",0.0318530569814635,0.49578485411026,0.253,0.167,1,"Ube2q1","OPC","P23","Up"
"Tspan7",0.0327049145020013,-0.304702156820245,0.67,0.744,1,"Tspan7","OPC","P23","Down"
"Ptprd",0.0329110491961577,-0.439223771327315,0.385,0.494,1,"Ptprd","OPC","P23","Down"
"Lrrc7",0.0329617323754574,0.432826632277742,0.439,0.344,1,"Lrrc7","OPC","P23","Up"
"Abi1",0.0332113126244716,0.558073662038256,0.317,0.233,1,"Abi1","OPC","P23","Up"
"Kctd17",0.0333796591702991,0.728057371161162,0.271,0.189,1,"Kctd17","OPC","P23","Up"
"Cdk17",0.0337053086215278,0.697258005909727,0.308,0.222,1,"Cdk17","OPC","P23","Up"
"Gaa",0.0337785806138277,-0.248287967867794,0.416,0.5,1,"Gaa","OPC","P23","Down"
"Nsd3",0.0340466286357639,-0.316852753584592,0.534,0.656,1,"Nsd3","OPC","P23","Down"
"Shisal1",0.0341224266660371,0.590309690813378,0.299,0.211,1,"Shisal1","OPC","P23","Up"
