"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Gabbr1",0.00399575852751911,-0.258558899945524,0.957,0.993,1,"Gabbr1","Mature_OL","P23","Down"
"Dock1",0.00402890616445339,0.724864720530795,0.594,0.485,1,"Dock1","Mature_OL","P23","Up"
"Ccnjl",0.00405303553189408,-0.998964374166027,0.167,0.306,1,"Ccnjl","Mature_OL","P23","Down"
"Ube2d2a",0.00414846637315021,0.744366223769924,0.536,0.373,1,"Ube2d2a","Mature_OL","P23","Up"
"Mtmr4",0.00424554964549795,-1.05369318195124,0.181,0.313,1,"Mtmr4","Mature_OL","P23","Down"
"Mical3",0.0042752362846233,0.497166903166658,0.761,0.545,1,"Mical3","Mature_OL","P23","Up"
"Insc",0.00433628698193952,0.810476852928131,0.399,0.231,1,"Insc","Mature_OL","P23","Up"
"Kcnj10",0.00433767803635729,0.56875628848873,0.63,0.493,1,"Kcnj10","Mature_OL","P23","Up"
"Mpzl1",0.00437819078228168,0.562816705858709,0.58,0.396,1,"Mpzl1","Mature_OL","P23","Up"
"Ppp1r16b",0.0048158153540141,-0.509955418908592,0.783,0.806,1,"Ppp1r16b","Mature_OL","P23","Down"
"Mat2a",0.00487236282200141,-0.313019359252194,0.746,0.851,1,"Mat2a","Mature_OL","P23","Down"
"Schip1",0.00517444816221485,0.360371003997112,0.638,0.433,1,"Schip1","Mature_OL","P23","Up"
"Septin7",0.00531152272207252,-0.225234688147503,0.986,1,1,"Septin7","Mature_OL","P23","Down"
"Rnf220",0.00531633743765944,-0.49843328422926,0.529,0.694,1,"Rnf220","Mature_OL","P23","Down"
"Dyrk1b",0.00538076721139614,0.723631018163505,0.42,0.261,1,"Dyrk1b","Mature_OL","P23","Up"
"Ermn",0.0056964229316772,-0.38776186914933,0.761,0.881,1,"Ermn","Mature_OL","P23","Down"
"Cep83",0.00575052520218985,-1.05163141554028,0.167,0.299,1,"Cep83","Mature_OL","P23","Down"
"Abca8b",0.0060674310385288,1.02397406762344,0.29,0.149,1,"Abca8b","Mature_OL","P23","Up"
"Mad1l1",0.00621161682242293,1.10104104427345,0.29,0.164,1,"Mad1l1","Mature_OL","P23","Up"
"Gramd3",0.00623874073839993,0.550583510222891,0.478,0.313,1,"Gramd3","Mature_OL","P23","Up"
"Hmgcr",0.00628186326210962,-0.774510368330052,0.333,0.485,1,"Hmgcr","Mature_OL","P23","Down"
"Eif4g1",0.00628204377933741,-1.06281905717268,0.203,0.336,1,"Eif4g1","Mature_OL","P23","Down"
"Mobp",0.00630980527378774,-0.176127366782088,1,1,1,"Mobp","Mature_OL","P23","Down"
"Tmem132b",0.00635168933526396,1.25198277473721,0.29,0.164,1,"Tmem132b","Mature_OL","P23","Up"
"Glrb",0.00636534836030501,0.901158080799126,0.348,0.201,1,"Glrb","Mature_OL","P23","Up"
"Piezo2",0.00639983263184801,0.983308112504396,0.312,0.172,1,"Piezo2","Mature_OL","P23","Up"
"Hdac11",0.00640909975575156,0.550322315289048,0.674,0.537,1,"Hdac11","Mature_OL","P23","Up"
"Mvk",0.00649806587393775,-0.84679369518312,0.268,0.403,1,"Mvk","Mature_OL","P23","Down"
"Bace1",0.00653288752042251,-0.466758145269834,0.558,0.687,1,"Bace1","Mature_OL","P23","Down"
"Ufd1",0.00687632145214695,-0.737266131064783,0.341,0.463,1,"Ufd1","Mature_OL","P23","Down"
"Serpinb1a",0.00706575740355353,0.796446737550238,0.275,0.142,1,"Serpinb1a","Mature_OL","P23","Up"
"Izumo4",0.00712388705944171,-0.988821919270056,0.159,0.284,1,"Izumo4","Mature_OL","P23","Down"
"Mospd2",0.00762870940912433,-1.07542573035407,0.13,0.254,1,"Mospd2","Mature_OL","P23","Down"
"Ccdc191",0.00762952634877694,0.827089778924595,0.333,0.187,1,"Ccdc191","Mature_OL","P23","Up"
"Gnao1",0.00774779030148374,0.30935238856235,0.906,0.873,1,"Gnao1","Mature_OL","P23","Up"
"Gpm6a",0.00801867179599326,-0.587689684204848,0.297,0.433,1,"Gpm6a","Mature_OL","P23","Down"
"Rnf141",0.00815963575400709,0.802597746899453,0.399,0.261,1,"Rnf141","Mature_OL","P23","Up"
"Srrm2",0.00821726303646521,-0.398951710802647,0.623,0.739,1,"Srrm2","Mature_OL","P23","Down"
"Plekhm2",0.00828247924259891,0.8912025820691,0.29,0.157,1,"Plekhm2","Mature_OL","P23","Up"
"Copg1",0.00834693042131828,-0.749484527658802,0.225,0.366,1,"Copg1","Mature_OL","P23","Down"
"BC034090",0.00842391257365463,-1.04859822876648,0.152,0.284,1,"BC034090","Mature_OL","P23","Down"
"Foxn3",0.00849410950241644,0.527690894772736,0.681,0.56,1,"Foxn3","Mature_OL","P23","Up"
"Kdm2a",0.00850284140026034,0.511875591889847,0.688,0.567,1,"Kdm2a","Mature_OL","P23","Up"
"Hectd3",0.00852951496499426,0.942082341644609,0.304,0.164,1,"Hectd3","Mature_OL","P23","Up"
"Vps52",0.00894175063924733,0.828970630879343,0.283,0.149,1,"Vps52","Mature_OL","P23","Up"
"Mdm4",0.00948587569861537,0.522331681129824,0.696,0.507,1,"Mdm4","Mature_OL","P23","Up"
"Myo18a",0.0097061139441437,0.791719158630704,0.493,0.351,1,"Myo18a","Mature_OL","P23","Up"
"Ddhd1",0.00981813787272621,0.806840835030933,0.435,0.284,1,"Ddhd1","Mature_OL","P23","Up"
"Rasgrp3",0.00987290160751622,0.877163971895945,0.326,0.201,1,"Rasgrp3","Mature_OL","P23","Up"
"Eif2d",0.00990193956432454,1.00611750811215,0.268,0.142,1,"Eif2d","Mature_OL","P23","Up"
"Fam120b",0.0101240327394339,1.04576537666814,0.348,0.216,1,"Fam120b","Mature_OL","P23","Up"
"Ndor1",0.0101507290692923,0.501831311419912,0.58,0.433,1,"Ndor1","Mature_OL","P23","Up"
"Sfswap",0.010505847184023,0.410782910105739,0.725,0.582,1,"Sfswap","Mature_OL","P23","Up"
"Smad7",0.0107151550017543,0.468608235636824,0.623,0.493,1,"Smad7","Mature_OL","P23","Up"
"Dalrd3",0.0107746914486885,0.747655646344234,0.413,0.269,1,"Dalrd3","Mature_OL","P23","Up"
"Acp6",0.0107758517745242,-0.891707826847256,0.138,0.261,1,"Acp6","Mature_OL","P23","Down"
"Pde4a",0.0108462856884474,1.23568007362728,0.254,0.134,1,"Pde4a","Mature_OL","P23","Up"
"Rusc2",0.0108834104065655,0.701476089848168,0.449,0.313,1,"Rusc2","Mature_OL","P23","Up"
"Eml2",0.0110444366533277,0.603719514254692,0.536,0.388,1,"Eml2","Mature_OL","P23","Up"
"Slc15a4",0.0112655392649124,0.503388792708349,0.616,0.463,1,"Slc15a4","Mature_OL","P23","Up"
"Pls1",0.0113481331427945,0.930000734405937,0.348,0.216,1,"Pls1","Mature_OL","P23","Up"
"Atp8a1",0.0113944026226993,0.25839240602421,0.928,0.881,1,"Atp8a1","Mature_OL","P23","Up"
"Traf6",0.0114026260037906,-1.14196385149097,0.152,0.269,1,"Traf6","Mature_OL","P23","Down"
"Pip4k2a",0.0116535239307328,-0.806367716167557,0.188,0.313,1,"Pip4k2a","Mature_OL","P23","Down"
"Sptan1",0.0116839303062657,0.607967590045547,0.428,0.276,1,"Sptan1","Mature_OL","P23","Up"
"Lcmt1",0.0120716510237759,-1.00198510402275,0.138,0.261,1,"Lcmt1","Mature_OL","P23","Down"
"Glul",0.0121360741563015,0.396785529372766,0.725,0.56,1,"Glul","Mature_OL","P23","Up"
"Rap1gap",0.0129062598258358,-0.625205265832272,0.399,0.537,1,"Rap1gap","Mature_OL","P23","Down"
"Trim36",0.0129719519817083,-0.604215313080293,0.399,0.515,1,"Trim36","Mature_OL","P23","Down"
"Car2",0.0129981029336883,-0.168631188693015,0.812,0.918,1,"Car2","Mature_OL","P23","Down"
"Pfn2",0.0130279738261486,-1.13709283217067,0.159,0.269,1,"Pfn2","Mature_OL","P23","Down"
"Dgki",0.0137276326153034,0.81887701895633,0.413,0.261,1,"Dgki","Mature_OL","P23","Up"
"Wdr20",0.0138886271384837,-0.631470637847191,0.391,0.522,1,"Wdr20","Mature_OL","P23","Down"
"Zdhhc20",0.0141023573827487,-0.518790488911453,0.616,0.709,1,"Zdhhc20","Mature_OL","P23","Down"
"Zfyve1",0.014200745233622,0.427843975009522,0.746,0.537,1,"Zfyve1","Mature_OL","P23","Up"
