"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Zbtb22",0.0501861867689753,-4.02687001686798,0,0.5,1,"Zbtb22","Granule_DG","P23","Down"
"Ppp1r10",0.0501861867689753,-4.59578182398743,0,0.5,1,"Ppp1r10","Granule_DG","P23","Down"
"Myl12b",0.0501861867689753,-4.02687001686798,0,0.5,1,"Myl12b","Granule_DG","P23","Down"
"Map3k2",0.0501861867689753,-4.02687001686798,0,0.5,1,"Map3k2","Granule_DG","P23","Down"
"Rbm27",0.0501861867689753,-4.42114807545514,0,0.5,1,"Rbm27","Granule_DG","P23","Down"
"Tmed7",0.0501861867689753,-4.42114807545514,0,0.5,1,"Tmed7","Granule_DG","P23","Down"
"Malt1",0.0501861867689753,-4.25867738767884,0,0.5,1,"Malt1","Granule_DG","P23","Down"
"Mppe1",0.0501861867689753,-4.59578182398743,0,0.5,1,"Mppe1","Granule_DG","P23","Down"
"Epg5",0.0501861867689753,-4.25867738767884,0,0.5,1,"Epg5","Granule_DG","P23","Down"
"Zfp407",0.0501861867689753,-4.25867738767884,0,0.5,1,"Zfp407","Granule_DG","P23","Down"
"Sf1",0.0501861867689753,-4.59578182398743,0,0.5,1,"Sf1","Granule_DG","P23","Down"
"Ccdc86",0.0501861867689753,-4.02687001686798,0,0.5,1,"Ccdc86","Granule_DG","P23","Down"
"Plpp6",0.0501861867689753,-4.25867738767884,0,0.5,1,"Plpp6","Granule_DG","P23","Down"
"Hectd2",0.0501861867689753,-4.02687001686798,0,0.5,1,"Hectd2","Granule_DG","P23","Down"
"Lcor",0.0501861867689753,-4.42114807545514,0,0.5,1,"Lcor","Granule_DG","P23","Down"
"Fbxw4",0.0501861867689753,-5.28379033111349,0,0.5,1,"Fbxw4","Granule_DG","P23","Down"
"Fhip2a",0.0501861867689753,-5.18126974877015,0,0.5,1,"Fhip2a","Granule_DG","P23","Down"
"Clcn5",0.0501861867689753,-4.02687001686798,0,0.5,1,"Clcn5","Granule_DG","P23","Down"
"Bex3",0.0501861867689753,-5.13240246007216,0,0.5,1,"Bex3","Granule_DG","P23","Down"
"Kantr",0.0501861867689753,-4.02687001686798,0,0.5,1,"Kantr","Granule_DG","P23","Down"
"mt-Nd6",0.0501861867689753,-5.13240246007216,0,0.5,1,"mt-Nd6","Granule_DG","P23","Down"
"Atp2b1",0.05079852073884,-0.851798581815928,1,1,1,"Atp2b1","Granule_DG","P23","Down"
"Dnajc6",0.0571971486086601,2.21403776143473,0.875,0.25,1,"Dnajc6","Granule_DG","P23","Up"
"Slc12a2",0.0571971486086601,2.05118232915153,0.875,0.25,1,"Slc12a2","Granule_DG","P23","Up"
"Prrc2c",0.0644341198215277,2.18827604677843,0.75,0.25,1,"Prrc2c","Granule_DG","P23","Up"
"Tppp",0.0644341198215277,2.3666932879305,0.75,0.25,1,"Tppp","Granule_DG","P23","Up"
"Susd4",0.0689362897532666,-2.14609349508765,0.125,0.75,1,"Susd4","Granule_DG","P23","Down"
"Lin7c",0.0689362897532666,-1.9525503499508,0.125,0.75,1,"Lin7c","Granule_DG","P23","Down"
