"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Podxl2",0.938116389063746,0.0668229413593153,0.564,0.584,1,"Podxl2","OPC_1","P08","Up"
"Sox5",0.938212946299498,0.0794839867278193,0.247,0.261,1,"Sox5","OPC_1","P08","Up"
"Ifnar1",0.938766415339142,-0.0623851424186663,0.275,0.282,1,"Ifnar1","OPC_1","P08","Down"
"Tmem161b",0.940000009347011,0.0149263591275099,0.297,0.31,1,"Tmem161b","OPC_1","P08","Up"
"Bptf",0.940328084240994,0.0126336882170797,0.39,0.412,1,"Bptf","OPC_1","P08","Up"
"Gria4",0.940479443353954,0.0012794504267255,0.615,0.657,1,"Gria4","OPC_1","P08","Up"
"Rgs7",0.940602123272589,0.00751920061644185,0.248,0.253,1,"Rgs7","OPC_1","P08","Up"
"Peli1",0.94070732904949,-0.0212074389104375,0.32,0.327,1,"Peli1","OPC_1","P08","Down"
"Ccar2",0.941952847244574,-0.00643624890581052,0.315,0.322,1,"Ccar2","OPC_1","P08","Down"
"S100a2",0.942114387600357,-0.0241066500767706,0.315,0.327,1,"S100a2","OPC_1","P08","Down"
"Nectin1",0.943979428395673,-0.0125343363847607,0.254,0.257,1,"Nectin1","OPC_1","P08","Down"
"Tcf25",0.946354516298613,0.0639668958702486,0.462,0.486,1,"Tcf25","OPC_1","P08","Up"
"Dnajc13",0.946485104121175,0.0395716958708673,0.306,0.318,1,"Dnajc13","OPC_1","P08","Up"
"Macf1",0.946664162271742,-0.0417390492698404,0.655,0.641,1,"Macf1","OPC_1","P08","Down"
"Ptprk",0.947824372132724,-0.0715224145644033,0.414,0.404,1,"Ptprk","OPC_1","P08","Down"
"Lpcat1",0.947868288646455,0.0976088288704446,0.471,0.498,1,"Lpcat1","OPC_1","P08","Up"
"Atl1",0.948251015915355,-5.77568447483467e-05,0.247,0.257,1,"Atl1","OPC_1","P08","Down"
"Alkbh1",0.949140333291551,-0.00530929512700135,0.286,0.294,1,"Alkbh1","OPC_1","P08","Down"
"Zfp598",0.950347656970237,-0.0261853465178615,0.368,0.376,1,"Zfp598","OPC_1","P08","Down"
"Csnk2a1",0.950805030511412,-0.0522073538247021,0.391,0.4,1,"Csnk2a1","OPC_1","P08","Down"
"Nrd1",0.95118783949288,-0.0340921212189804,0.403,0.42,1,"Nrd1","OPC_1","P08","Down"
"Srek1",0.951479155524736,-0.030301038932921,0.801,0.845,1,"Srek1","OPC_1","P08","Down"
"Orc4",0.951485283728622,0.0580318016406535,0.397,0.416,1,"Orc4","OPC_1","P08","Up"
"Antkmt",0.951509386591099,0.0802498363835051,0.471,0.473,1,"Antkmt","OPC_1","P08","Up"
"Scamp5",0.951520531524792,-0.0182749047431003,0.714,0.714,1,"Scamp5","OPC_1","P08","Down"
